Title,Year,Duration,Genre,Rating
The Dark Knight,2008,152 min,"Action, Crime, Drama",9.0
Inception,2010,148 min,"Action, Adventure, Sci-Fi",8.8
Tenet,2020,150 min,"Action, Sci-Fi, Thriller",7.3
Dunkirk,2017,106 min,"Action, Drama, History",7.8
The Batman,2022,176 min,"Action, Crime, Drama",7.8
The Prestige,2006,130 min,"Drama, Mystery, Sci-Fi",8.5
Memento,2000,113 min,"Mystery, Thriller",8.4
Blade Runner 2049,2017,164 min,"Action, Drama, Mystery",8.0
Jurassic Park,1993,127 min,"Action, Adventure, Sci-Fi",8.2
The Departed,2006,151 min,"Crime, Drama, Thriller",8.5
Prisoners,2013,153 min,"Crime, Drama, Mystery",8.1
No Country for Old Men,2007,122 min,"Crime, Drama, Thriller",8.2
Joker,2019,122 min,"Crime, Drama, Thriller",8.4
Gone Girl,2014,149 min,"Drama, Mystery, Thriller",8.1
Se7en,1995,127 min,"Crime, Drama, Mystery",8.6
Aliens,1986,137 min,"Action, Adventure, Sci-Fi",8.4
Glass Onion,2022,139 min,"Comedy, Crime, Drama",7.1
Gisaengchung,2019,132 min,"Drama, Thriller",8.5
The Silence of the Lambs,1991,118 min,"Crime, Drama, Thriller",8.6
No Time to Die,2021,163 min,"Action, Adventure, Thriller",7.3
A Few Good Men,1992,138 min,"Drama, Thriller",7.7
Mad Max: Fury Road,2015,120 min,"Action, Adventure, Sci-Fi",8.1
Sicario,2015,121 min,"Action, Crime, Drama",7.6
Blade Runner,1982,117 min,"Action, Drama, Sci-Fi",8.1
Knives Out,2019,130 min,"Comedy, Crime, Drama",7.9
Promising Young Woman,2020,113 min,"Crime, Drama, Mystery",7.5
The Usual Suspects,1995,106 min,"Crime, Drama, Mystery",8.5
Get Out,2017,104 min,"Horror, Mystery, Thriller",7.8
Black Swan,2010,108 min,"Drama, Thriller",8.0
Logan,2017,137 min,"Action, Drama, Sci-Fi",8.1
The Hateful Eight,2015,168 min,"Crime, Drama, Mystery",7.8
Die Hard,1988,132 min,"Action, Thriller",8.2
The Imitation Game,2014,114 min,"Biography, Drama, Thriller",8.0
Collateral,2004,120 min,"Action, Crime, Drama",7.5
Starship Troopers,1997,129 min,"Action, Adventure, Sci-Fi",7.3
Fargo,1996,98 min,"Crime, Thriller",8.1
Mulholland Dr.,2001,147 min,"Drama, Mystery, Thriller",7.9
Unfaithful,2002,124 min,"Drama, Romance, Thriller",6.7
The Lighthouse,2019,109 min,"Drama, Fantasy, Horror",7.4
Apocalypto,2006,139 min,"Action, Adventure, Drama",7.8
Armageddon,1998,151 min,"Action, Adventure, Sci-Fi",6.7
Vanilla Sky,2001,136 min,"Fantasy, Mystery, Romance",6.9
The Sixth Sense,1999,107 min,"Drama, Mystery, Thriller",8.2
Primal Fear,1996,129 min,"Crime, Drama, Mystery",7.7
Basic Instinct,1992,127 min,"Drama, Mystery, Thriller",7.0
The Town,2010,125 min,"Crime, Drama, Thriller",7.5
Con Air,1997,115 min,"Action, Crime, Thriller",6.9
True Lies,1994,141 min,"Action, Comedy, Thriller",7.3
Spectre,2015,148 min,"Action, Adventure, Thriller",6.8
Ex Machina,2014,108 min,"Drama, Sci-Fi, Thriller",7.7
The Untouchables,1987,119 min,"Crime, Drama, Thriller",7.8
